model,case_type,correct,total,accuracy
qwen,calculation,1,1,100.00%
qwen,discontinued_operations_footnote,1,1,100.00%
qwen,field_confusion,4,4,100.00%
qwen,fiscal_year_unit_trap,0,1,0.00%
qwen,forbidden_calculation_missing_field,1,1,100.00%
qwen,gaap_non_gaap,5,5,100.00%
qwen,gaap_non_gaap_conflict,1,1,100.00%
qwen,implicit_non_gaap_instruction,1,1,100.00%
qwen,impossible_extraction_similar_fields,1,1,100.00%
qwen,missing_field,6,6,100.00%
qwen,multi_year,4,4,100.00%
qwen,multi_year_distractor,1,1,100.00%
qwen,negative_value_parentheses,1,1,100.00%
qwen,parent_attributable_income_confusion,1,1,100.00%
qwen,parent_only_vs_consolidated,1,1,100.00%
qwen,per_share_vs_total_amount,1,1,100.00%
qwen,prompt_injection_financial_extraction,0,1,0.00%
qwen,restatement_trap,1,1,100.00%
qwen,segment_vs_total_company,1,1,100.00%
qwen,super_hard_attributable_income,1,1,100.00%
qwen,table_footnote_override,1,1,100.00%
qwen,unit_conversion,4,4,100.00%
deepseek,calculation,1,1,100.00%
deepseek,discontinued_operations_footnote,1,1,100.00%
deepseek,field_confusion,4,4,100.00%
deepseek,fiscal_year_unit_trap,1,1,100.00%
deepseek,forbidden_calculation_missing_field,1,1,100.00%
deepseek,gaap_non_gaap,5,5,100.00%
deepseek,gaap_non_gaap_conflict,1,1,100.00%
deepseek,implicit_non_gaap_instruction,1,1,100.00%
deepseek,impossible_extraction_similar_fields,1,1,100.00%
deepseek,missing_field,6,6,100.00%
deepseek,multi_year,4,4,100.00%
deepseek,multi_year_distractor,1,1,100.00%
deepseek,negative_value_parentheses,1,1,100.00%
deepseek,parent_attributable_income_confusion,1,1,100.00%
deepseek,parent_only_vs_consolidated,1,1,100.00%
deepseek,per_share_vs_total_amount,1,1,100.00%
deepseek,prompt_injection_financial_extraction,1,1,100.00%
deepseek,restatement_trap,1,1,100.00%
deepseek,segment_vs_total_company,1,1,100.00%
deepseek,super_hard_attributable_income,1,1,100.00%
deepseek,table_footnote_override,1,1,100.00%
deepseek,unit_conversion,4,4,100.00%
